vowel,F1,F2,filename
e,516.6022851864129,1811.6093985946293,e_41.wav
u,345.3052407656694,1510.327848538044,u_42.wav
e,465.2740988285623,2096.170095695906,e_43.wav
u,351.7235201595305,1256.5464556244149,u_44.wav
e,474.509685806237,2089.992058582279,e_45.wav
u,340.62571081281595,1369.3900655964858,u_46.wav
e,458.246497818302,2072.277810950381,e_47.wav
i,356.41493220475,2248.8711658092698,i_48.wav
i,351.29813277047487,2133.0694895465545,i_49.wav
i,355.3778229181222,2246.9803733942103,i_50.wav
ə,319.22758903010606,1536.347474004134,ə_51.wav
a,863.9335971355977,1460.7351207678398,a_52.wav
ə,434.6348457514122,1540.3129301121644,ə_53.wav
a,887.8218181229797,1483.8938673384275,a_54.wav
ə,357.1530043654536,1559.0741596950102,ə_55.wav
a,863.3799958170347,1493.9551942761898,a_56.wav
ə,410.210638434516,1506.2390741208342,ə_57.wav
ə,377.6272312971402,1698.5141629884024,ə_58.wav
ə,333.60467837106734,1680.6408354492162,ə_59.wav
ə,625.4960372099448,1593.1278209366428,ə_60.wav
ə,470.8641677530255,1472.851340387842,ə_61.wav
ə,496.9601679424512,1607.535561987144,ə_62.wav
ə,402.26254608216647,1634.2798293049284,ə_63.wav
ə,403.4464273192884,1700.40532857299,ə_64.wav
u,392.7158370652552,905.00762726091,u_65.wav
u,391.8581175987003,860.1178002474679,u_66.wav
u,353.03102334075834,865.8364084460414,u_67.wav
i,318.9988312226324,1784.5325601055663,i_68.wav
i,338.5308206251636,1798.59392574747,i_69.wav
i,392.3012274030086,1677.1844848553192,i_70.wav
i,364.6384494123599,2110.733829954272,i_71.wav
i,355.00516027016886,2146.7291109593,i_72.wav
i,359.4562766478888,2106.562805646351,i_73.wav
ə,394.6316169038674,1710.2572406462834,ə_75.wav
ə,436.2595557924682,1697.9553344544138,ə_76.wav
e,388.3025826091808,2015.1833325854143,e_77.wav
e,392.7002191605808,2187.0496310320373,e_78.wav
e,410.1179045822939,2174.056753121766,e_79.wav
a,767.680871716428,1449.0943998799248,a_80.wav
a,888.7488490336793,1478.0134211859568,a_81.wav
a,755.2098604449044,1444.1686892126677,a_82.wav
a,817.0774436415498,1462.3532194879376,a_83.wav
a,878.0710314677465,1474.6968682088586,a_84.wav
a,745.4075725580825,1425.052771671313,a_85.wav
a,838.5797136391766,1483.6035527216702,a_86.wav
a,925.9798720804224,1489.4440937582867,a_87.wav
a,765.6640397245008,1515.1082967520083,a_88.wav
e,413.1757528794017,1960.848857145648,e_89.wav
e,433.7242774836932,1800.1070397386895,e_90.wav
